非洲	Africa
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boro
Thàn	Carbonio
Tham	Azoto
Yòng	Ossigeno
Hàng-sên	Pianeta
Yîm-ngo̍k	Musica
Rennes	Rennes
Mo̍k-sṳ̂-khô	Mosca (Russia)
Fuk	Fluoro
Yi-thai-li-ngî	Lingua italiana
Nái	Neon
Sṳn Pí-tet-páu	San Pietroburgo
Na̍p	Sodio
北	Nord
Mî	Magnesio
Lî (鋁)	Alluminio
Néu Sî-làn	Nuova Zelanda
南	Sud
Yin-thu	India
Si̍t	Silicio
Fap	Francio
Lìn	Fosforo
Thiet	Ferro
Tûng-kâ	Tonga
西	Ovest
Liù-vòng	Zolfo
東	Est
Liu̍k	Cloro
Pâ-pu-â Néu-kí-nui-â	Papua Nuova Guinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Potassio
Koi	Calcio (elemento chimico)
Yèn	Piombo
Mùng-kú-koet	Mongolia
Khong (鈧)	Scandio
Thai	Titanio
Genghis Khan	Gengis Khan
Fàm	Vanadio
Mien-yîn	Maine
Kok	Cromo
Mâ	Equus caballus
Thûng-vu̍t	Animalia
Sû-li-nàm	Suriname
Màng	Manganese
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Arte
Lòi	Renio
Kô-lùn-pí-â	Colombia
Kû	Cobalto
Vû	Tungsteno
Ngiap (鎳)	Nichel
Fu̍t-kau	Buddhismo
Pô-li-vì-â	Bolivia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad e Tobago
Chhṳ̍t-vu̍t	Plantæ
Sîn	Zinco
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Giamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Gheldria (provincia)
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Gallus gallus domesticus
Ha-vî-yî	Hawaii
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
Tô-mí-nì-kâ Khiung-fò-koet	Repubblica Dominicana
Kâ-chû (Thung-vu̍t)	Sus scrofa domesticus
Hói-thi	Haiti
Sat-ngì-ngá-tô	El Salvador
Yî-lóng	Iran
Yî-là-khiet	Iraq
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israele
Pâ-nâ-mâ	Panamá
Ya̍p-mùn	Yemen
Phiang-thu̍k	Virus (biologia)
Pô-làn-ngî	Lingua polacca
Yok-tan	Giordania
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Florida
Kit-ngí-kit-sṳ̂-thán	Kirghizistan
Â-li-sông-ná	Arizona
Khô-vî-thi̍t	Kuwait
Liàu-koet	Laos
Lì-pâ-nun	Libano
O-le̍t-kông	Oregon
Gi-tuk-gaau zung geh sin	Dio (cristianesimo)
Mâ-ngì-thoi-fû	Maldive
Yù-thâ	Utah
Mâ-lòi-sî-â	Malesia
Mién-thien	Birmania
Nì-pok	Nepal
Â-man	Oman
Pâ-kî-sṳ̂-thán	Pakistan
Khà-tha̍t	Qatar
Mióng-khiù	Tennis
Sâ-vû-thi Â-lâ-pak	Arabia Saudita
Sṳ̂-lî-làn-khà	Sri Lanka
