ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	Elvis Presley
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Galileo Galilei
ལྷག་པ།	Mercurio (astronomia)
ལོ་རྒྱུས།	Storia
པ་སངས།	Venere (astronomia)
སྐད་རིགས།	Linguaggio
བརྩེ་དུང་།	Amore
ཕུར་བུ།	Giove (astronomia)
སྐར་མ་གནམ་རྒྱལ།	Urano (astronomia)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Nettuno (astronomia)
སེང་ག་ཕོར།	Singapore
ཚན་རིག	Scienza
མིར་ཡམ །	Maria (madre di Gesù)
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Sport
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Prima guerra mondiale
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Seconda guerra mondiale
ཧྥུ་ཐ་ཅ་ཨ་རག	Vodka
སི་ཀོཔ་ཇི།	Skopje
རྩིས་རིག	Matematica
ལ་ཏིན་སྐད།	Lingua latina
བྷཧ་རཡིན།	Bahrein
ཨར་མེ་ནི་ཡ།	Armenia
སེར་བྷི་ཡ།	Serbia
ཟླ་བ།	Luna
ཨོ་སེ་ཐེ་ལི་ཡ།	Australia
དངོས་ཁམས་རིག་པ་	Fisica
ཨར་ཇེན་ཊི་ན།	Argentina
པེ་རུ།	Perù
སྐྱེ་དངོས་རིག་པ།	Biologia
བྱང་ཀོ་རི་ཡ།	Corea del Nord
ཁམ་པོ་ཛ།	Cambogia
ཁུ་རན་གསུང་རབ།	Corano
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Lubiana
རྩི་ཤིང་རིག་པ།	Botanica
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Ruota
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Pace
ལི་ཡོང་།	Lione
བུད་མེད།	Donna
སོ་ཧྥི་ཡ།	Sofia
ཐང་རྗི་ཁོཏ།	Don Chisciotte della Mancia
སྙན་ངག	Poesia
མི་ལཱན།	Milano
ཁྱིམ་དྲན་སེམས་ནད།	Memoria
ཊུ་རིན།	Torino
ལེ་མོན།	Citrus × limon
ངང་ལག	Banana
མེ་ཏོག	Fiore
ཇོ་མོ་གླང་མ།	Everest
གཤག་བཅོས་རིག་པ།	Anatomia
གྲོང་ཁྱེར།	Città
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesuvio
ཉི་མ།	Sole
གྲོང་ཚོ།	Villaggio
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oceania
ཉི་མའི་ཁྱིམ་རྒྱུད།	Sistema solare
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Giorno
ཤར་ཏིམོར།	Timor Est
